,Bluecar counter,Utilib counter,Utilib 1.4 counter,Charge Slots,Charging Status,City,ID,Kind,Postal code,Public name,Rental status,Slots,Station type,Status,Subscription status,year,month,day,hour,minute
0,0,0,0,0,nonexistent,Paris,paris-suffren-2,STATION,75015,Paris/Suffren/2,operational,2,station,ok,nonexistent,2018,4,8,11,43
1,6,0,0,0,operational,Paris,paris-raymondlosserand-145,STATION,75014,Paris/Raymond Losserand/145,operational,0,station,ok,nonexistent,2018,4,6,7,24
2,3,0,2,0,operational,Le Bourget,lebourget-johnfitzgeraldkennedy-2,STATION,93350,Le Bourget/John Fitzgerald Kennedy/2,operational,1,station,ok,nonexistent,2018,4,3,20,14
3,3,1,0,1,operational,Paris,paris-eugeneoudine-51,STATION,75013,Paris/EugÃ¨ne OudinÃ©/51,operational,2,station,ok,nonexistent,2018,4,4,4,37
4,3,0,0,0,nonexistent,Paris,paris-portedechamperret-6,PARKING,75017,Paris/Porte de Champerret/6,operational,3,station,ok,nonexistent,2018,4,8,17,23
5,0,0,0,0,nonexistent,Paris,paris-voltaire-8,STATION,75011,Paris/Voltaire/8,operational,4,station,ok,nonexistent,2018,4,6,7,2
6,0,0,0,0,nonexistent,Paris,paris-citroencevennes-parking,PARKING,75015,Paris/CitroÃ«n CÃ©vennes/Parking,broken,0,station,closed,nonexistent,2018,4,8,18,20
7,3,1,0,0,nonexistent,Nanterre,nanterre-luaps-17,STATION,92000,Nanterre/Luaps/17,operational,0,station,ok,nonexistent,2018,4,4,22,13
8,1,0,0,0,nonexistent,Paris,paris-jeanmoulin-34,STATION,75014,Paris/Jean Moulin/34,operational,4,station,ok,nonexistent,2018,4,2,22,58
9,6,0,0,0,nonexistent,Paris,paris-anvers-parking,PARKING,75009,Paris/Anvers/Parking,operational,0,station,ok,nonexistent,2018,4,4,15,2
10,0,0,0,2,operational,Paris,paris-censier-14,STATION,75005,Paris/Censier/14,operational,6,station,ok,nonexistent,2018,4,1,4,39
11,1,0,0,0,nonexistent,Puteaux,puteaux-francisdepressense-12,STATION,92800,Puteaux/Francis de PressensÃ©/12,operational,4,station,ok,nonexistent,2018,4,6,9,20
12,5,1,0,0,nonexistent,Paris,paris-portedechamperret-6,PARKING,75017,Paris/Porte de Champerret/6,operational,0,station,ok,nonexistent,2018,4,5,12,22
13,0,0,0,0,nonexistent,Paris,paris-jeanmoulin-34,STATION,75014,Paris/Jean Moulin/34,operational,0,station,ok,nonexistent,2018,4,8,21,54
14,0,0,0,1,operational,Paris,paris-richardlenoir-8,STATION,75011,Paris/Richard Lenoir/8,operational,4,station,ok,nonexistent,2018,4,6,8,0
15,0,0,0,0,nonexistent,Fontenay-aux-Roses,fontenayauxroses-jeanjaures-3,SPACE,92260,Fontenay-aux-Roses/Jean JaurÃ¨s/3,operational,4,full_station,ok,operational,2018,4,2,0,21
16,0,0,0,0,nonexistent,Le Chesnay,lechesnay-leclerc-2,STATION,78150,Le Chesnay/Leclerc/2,operational,1,station,ok,nonexistent,2018,4,3,19,0
17,6,0,0,0,operational,Paris,paris-voltaire-182,STATION,75011,Paris/Voltaire/182,operational,0,station,ok,nonexistent,2018,4,9,12,14
18,5,0,0,0,nonexistent,Paris,paris-cambronne-parking,PARKING,75015,Paris/Cambronne/Parking,operational,0,station,ok,nonexistent,2018,4,9,20,58
19,4,0,2,0,operational,Paris,paris-renecoty-11,STATION,75014,Paris/RenÃ© Coty/11,operational,0,station,ok,nonexistent,2018,4,9,21,31
20,3,0,0,0,operational,Paris,paris-catalogne-2,SPACE,75014,Paris/Catalogne/2,operational,0,full_station,ok,operational,2018,4,5,6,16
21,2,1,0,0,nonexistent,Suresnes,suresnes-georgespompidou-37,STATION,92150,Suresnes/Georges Pompidou/37,operational,3,station,ok,nonexistent,2018,4,7,7,32
22,5,0,0,0,nonexistent,Versailles,versailles-vauban-5,STATION,78000,Versailles/Vauban/5,operational,1,station,ok,nonexistent,2018,4,5,3,6
23,2,0,0,0,nonexistent,Malakoff,malakoff-generalmalleretjoinville-2,STATION,92240,Malakoff/Malleret Joinville/2,operational,4,station,ok,nonexistent,2018,4,1,4,11
24,2,0,0,1,operational,Paris,paris-emiledeschanel-15,STATION,75007,Paris/Ãmile Deschanel/15,operational,2,station,ok,nonexistent,2018,4,4,23,27
25,0,0,0,2,operational,Paris,paris-voltaire-182,STATION,75011,Paris/Voltaire/182,operational,5,station,ok,nonexistent,2018,4,5,21,6
26,2,0,1,0,operational,Paris,paris-faubourgsaintmartin-203,STATION,75010,Paris/Faubourg-Saint-Martin/203,operational,2,station,ok,nonexistent,2018,4,3,9,40
27,1,0,0,0,nonexistent,Issy-les-Moulineaux,issylesmoulineaux-guynemer-16,STATION,92130,Issy-les-Moulineaux/Guynemer/16,operational,3,station,ok,nonexistent,2018,4,6,19,53
28,0,0,0,2,operational,Paris,paris-danton-8,STATION,75006,Paris/Danton/8,operational,6,station,ok,nonexistent,2018,4,2,23,28
29,0,0,0,0,broken,Paris,paris-boucry-35,STATION,75018,Paris/Boucry/35,broken,0,station,closed,nonexistent,2018,4,8,2,29
30,0,0,0,2,operational,Paris,paris-pontlouisphilippe-24,STATION,75004,Paris/Pont Louis-Philippe/24,operational,5,station,ok,nonexistent,2018,4,9,21,7
31,4,0,0,1,operational,Paris,paris-miollis-21,STATION,75015,Paris/Miollis/21,operational,2,station,ok,nonexistent,2018,4,3,1,22
32,1,0,0,2,operational,Paris,paris-sorbier-14,STATION,75020,Paris/Sorbier/14,operational,2,station,ok,nonexistent,2018,4,8,17,23
33,3,0,0,0,nonexistent,Paris,paris-londres-6,STATION,75009,Paris/Londres/6,operational,0,station,ok,nonexistent,2018,4,9,10,28
34,3,0,0,0,operational,Saint-Cloud,saintcloud-montvalerien-38,STATION,92210,Saint-Cloud/Mont ValÃ©rien/38,operational,2,station,ok,nonexistent,2018,4,3,16,22
35,2,0,1,0,nonexistent,SÃ¨vres,sevres-granderue-123,STATION,92310,SÃ¨vres/Grande Rue/123,operational,2,station,ok,nonexistent,2018,4,8,3,9
36,4,0,0,0,nonexistent,Nanterre,nanterre-ecoles-5,STATION,92000,Nanterre/Ecoles/5,operational,0,station,ok,nonexistent,2018,4,6,11,51
